Zip Code,Confirmed COVID-19 Cases,Confirmed COVID-19 Deaths,Date,Source URL
10312,1118,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10314,1783,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10451,932,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10452,1268,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10453,1341,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10454,648,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10455,686,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10456,1376,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10457,1173,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10458,1169,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10459,869,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10460,950,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10461,1173,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10462,1397,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10463,1063,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10464,93,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10465,1002,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10466,1482,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10467,2087,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

